,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,trauma,total_health,health_categorical,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
99,0,1,0,3,2,2,1,3,0,11,0.0,0.7070000000000001,0.602,0.165,0.5539999999999999,75.09,0.0,0.39299999999999996,82.0,['neo soul']
100,0,1,2,1,3,3,0,5,0,12,0.0,0.778,0.659,0.0841,0.623,110.022,6.79e-06,0.0013599999999999999,71.0,"['modern rock', 'pop punk', 'punk']"
101,0,1,1,4,4,5,4,4,0,21,1.0,0.763,0.72,0.18,0.742,101.965,0.0,0.406,75.0,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
102,0,1,1,4,4,5,4,4,0,21,1.0,0.6459999999999999,0.609,0.0787,0.58,74.987,4.8e-05,0.0197,37.0,"['british soul', 'dance pop', 'pop rap', 'r&b', 'urban contemporary']"
103,0,1,1,4,4,5,4,4,0,21,1.0,0.8140000000000001,0.644,0.213,0.52,145.041,1.59e-06,0.16399999999999998,54.0,"['dance pop', 'edm', 'pop', 'pop rap']"
104,2,1,1,4,5,5,4,5,1,23,1.0,0.9159999999999999,0.6709999999999999,0.24,0.8029999999999999,126.01,0.00762,0.0282,75.0,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop rap', 'tropical house']"
105,2,1,1,4,5,5,4,5,1,23,1.0,0.7959999999999999,0.276,0.184,0.26,199.52599999999998,0.0,0.00293,66.0,"['complextro', 'edm', 'future bass', 'progressive electro house']"
106,1,1,2,3,5,5,5,5,0,23,1.0,0.562,0.635,0.11,0.28800000000000003,181.014,2.01e-06,0.309,64.0,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']"
107,1,1,2,3,5,5,5,5,0,23,1.0,0.521,0.619,0.10099999999999999,0.254,139.886,0.000542,0.26,64.0,"['canadian pop', 'pop', 'rap']"
108,1,1,2,3,5,5,5,5,0,23,1.0,0.768,0.502,0.204,0.40299999999999997,168.218,0.0,0.273,67.0,"['pop rap', 'rap']"
109,0,1,1,4,6,2,4,6,1,22,1.0,0.91,0.551,0.0866,0.8690000000000001,84.425,0.0,0.0994,47.0,"['anti-folk', 'electropop', 'folk-pop', 'lilith', 'piano rock']"
110,0,1,1,4,6,2,4,6,1,22,1.0,0.784,0.6459999999999999,0.061,0.8190000000000001,108.84,0.0,0.00495,65.0,"['funk', 'motown', 'quiet storm', 'soul']"
111,0,1,1,4,6,2,4,6,1,22,1.0,0.26,0.47600000000000003,0.10300000000000001,0.214,110.258,2.730000000000001e-05,0.645,29.0,"['canadian folk', 'canadian indie', 'deep new americana', 'vancouver indie']"
112,0,1,4,5,6,4,5,5,1,25,1.0,0.19699999999999998,0.259,0.10300000000000001,0.0393,66.29899999999999,7.34e-06,0.858,13.0,[]
113,0,1,4,5,6,4,5,5,1,25,1.0,0.465,0.33299999999999996,0.29100000000000004,0.6409999999999999,169.952,0.797,0.8370000000000001,62.0,"['baroque', 'classical', 'early music', 'italian baroque']"
114,0,1,4,5,6,4,5,5,1,25,1.0,0.857,0.551,0.136,0.894,83.89,0.8740000000000001,0.0616,24.0,"['ska', 'ska jazz', 'ska revival', 'traditional ska']"
115,1,1,1,5,6,5,3,4,0,23,1.0,0.627,0.7509999999999999,0.257,0.6970000000000001,123.96799999999999,0.0,0.0604,4.0,['viral pop']
116,1,1,1,5,6,5,3,4,0,23,1.0,0.755,0.434,0.106,0.217,87.383,2.57e-05,0.0415,70.0,"['brostep', 'catstep', 'chillstep', 'complextro', 'edm', 'electro house', 'tracestep']"
117,0,1,2,4,4,5,3,4,1,20,1.0,0.735,0.579,0.23800000000000002,0.228,105.022,0.0,0.00415,45.0,"['latin', 'latin pop', 'salsa', 'tropical']"
118,0,1,2,4,4,5,3,4,1,20,1.0,0.8740000000000001,0.625,0.11900000000000001,0.456,128.042,1.2e-06,0.304,37.0,[]
119,1,1,1,4,3,2,2,2,1,13,0.0,0.36200000000000004,0.7090000000000001,0.109,0.113,122.04299999999999,0.0,0.157,74.0,"['canadian hip hop', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'trap soul']"
120,1,1,1,4,3,2,2,2,1,13,0.0,0.54,0.54,0.231,0.209,120.266,0.0,0.0616,44.0,['pop rap']
121,1,1,1,4,3,2,2,2,1,13,0.0,0.39299999999999996,0.67,0.10400000000000001,0.193,77.461,0.000307,0.0159,51.0,['pop rap']
