,Unnamed: 0,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,trauma,total_health,health_categorical,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
229,229,Female,18 - 30,0 - 1,2,4,2,3,6,Yes,17,1.0,Queen Of Peace,Florence + The Machine,0.894,0.47,0.0903,0.311,126.03,5.400000000000001e-05,0.0322,53.0,"['chamber pop', 'folk-pop', 'pop']"
230,230,Male,18 - 30,1 - 2,5,6,6,4,5,No,26,1.0,Waiting for a Star to Fall,Boy Meets Girl,0.7340000000000001,0.6559999999999999,0.301,0.591,116.246,9.990000000000004e-05,0.0896,59.0,['new wave pop']
231,231,Female,18 - 30,1 - 2,2,3,3,2,4,No,14,0.0,Lay Me Down,Sam Smith,0.19,0.468,0.107,0.326,125.319,0.0,0.919,79.0,['pop']
232,232,Female,18 - 30,1 - 2,2,3,3,2,4,No,14,0.0,Grenade,Bruno Mars,0.5579999999999999,0.706,0.118,0.227,110.443,0.0,0.146,75.0,"['pop', 'post-teen pop']"
233,233,Female,18 - 30,1 - 2,2,3,3,2,4,No,14,0.0,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,0.606,0.262,0.125,0.275,189.857,0.0,0.247,71.0,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']"
234,234,Male,18 - 30,2+,3,2,3,2,4,No,14,0.0,The 12th Hour,Sirenia,0.925,0.282,0.0711,0.265,180.125,0.0129,0.000172,20.0,"['gothic metal', 'gothic symphonic metal', 'norwegian metal', 'progressive metal', 'symphonic metal']"
235,235,Male,18 - 30,2+,3,2,3,2,4,No,14,0.0,Élan,Nightwish,0.5820000000000001,0.575,0.139,0.297,127.94,0.000178,0.0103,57.0,"['finnish metal', 'gothic metal', 'gothic symphonic metal', 'power metal', 'progressive metal', 'symphonic metal']"
236,236,Male,18 - 30,2+,3,2,3,2,4,No,14,0.0,Colder,End of the Dream,0.813,0.147,0.156,0.227,191.837,0.0199,0.000286,40.0,"['gothic symphonic metal', 'symphonic metal', 'symphonic power metal']"
237,237,Female,18 - 30,2+,4,2,2,2,3,No,13,0.0,Faster,Amaranthe,0.981,0.508,0.411,0.302,150.026,0.0,5.720000000000002e-05,45.0,"['gothic symphonic metal', 'melodic death metal', 'power metal', 'progressive metal']"
238,238,Female,18 - 30,2+,4,2,2,2,3,No,13,0.0,Stay,Sad Alice Said,0.949,0.475,0.343,0.28800000000000003,139.975,0.00533,0.000439,18.0,"['fallen angel', 'gothic symphonic metal', 'symphonic metal']"
239,239,Female,18 - 30,2+,4,2,2,2,3,No,13,0.0,The Aging Man,The Great Discord,0.823,0.505,0.35200000000000004,0.228,150.001,0.406,0.000817,28.0,[]
240,240,Female,18 - 30,2+,3,4,4,3,2,No,16,1.0,Like This - AIRIETJA & Sonny Bass Remix,DJ Henry X,0.7509999999999999,0.499,0.154,0.6970000000000001,116.491,6.11e-05,0.261,26.0,[]
241,241,Female,18 - 30,2+,3,4,4,3,2,No,16,1.0,Girl Can't Be Herself,Alicia Keys,0.848,0.696,0.0918,0.871,88.64,0.0,0.00238,36.0,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
242,242,Female,18 - 30,0 - 1,4,5,6,4,4,No,23,1.0,7 Years,Lukas Graham,0.473,0.765,0.391,0.34,119.992,0.0,0.287,82.0,['danish pop']
243,243,Female,18 - 30,0 - 1,4,5,6,4,4,No,23,1.0,Little Drummer Boy,Pentatonix,0.411,0.713,0.0763,0.626,134.007,7.190000000000001e-05,0.3,59.0,['a cappella']
244,244,Male,18 - 30,2+,6,6,6,6,6,Yes,30,1.0,beibs in the trap,Travis Scott,0.5710000000000001,0.743,0.29100000000000004,0.495,119.054,0.0,0.24,71.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
245,245,Male,18 - 30,2+,6,6,6,6,6,Yes,30,1.0,Brown Boy,NAV,0.866,0.863,0.201,0.873,147.055,0.0,0.16399999999999998,47.0,[]
246,246,Male,18 - 30,1 - 2,3,3,3,3,4,Yes,16,1.0,This Promise,Sam Tsui,0.701,0.51,0.168,0.135,120.989,0.0,0.466,40.0,"['channel pop', 'post-teen pop', 'viral pop']"
247,247,Male,18 - 30,0 - 1,4,4,2,5,5,Yes,20,1.0,Let Me Hold You (Turn Me On) - Lost Stories & Crossnaders Remix Edit,Cheat Codes,0.659,0.612,0.0538,0.417,98.015,0.0,0.0933,38.0,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house']"
248,248,Male,18 - 30,0 - 1,4,4,2,5,5,Yes,20,1.0,Kamikaze,MØ,0.878,0.6629999999999999,0.328,0.7040000000000001,158.035,3.39e-06,0.0368,65.0,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']"
249,249,Female,18 - 30,2+,6,2,4,0,3,Yes,15,0.0,Holy,King Princess,0.585,0.614,0.0948,0.211,169.905,0.000129,0.134,71.0,"['dance pop', 'electropop', 'pop']"
250,250,Female,18 - 30,2+,6,2,4,0,3,Yes,15,0.0,I Got a Pea,Bryant Oden,0.473,0.8809999999999999,0.097,0.97,126.482,0.000112,0.28600000000000003,22.0,"[""children's music""]"
251,251,Female,18 - 30,1 - 2,2,3,4,4,2,Yes,15,0.0,Get Busy,Sean Paul,0.8240000000000001,0.735,0.158,0.726,100.202,0.0,0.615,67.0,"['dance pop', 'dancehall', 'pop', 'pop rap']"
252,252,Female,18 - 30,2+,5,2,5,4,6,No,22,1.0,Run Wild,Coleman Hell,0.847,0.662,0.145,0.441,127.986,3.81e-06,0.00264,32.0,"['canadian pop', 'indie poptimism', 'modern alternative rock', 'modern rock']"
253,253,Male,18 - 30,0 - 1,6,4,4,4,2,No,20,1.0,My Way,Calvin Harris,0.913,0.8190000000000001,0.161,0.536,119.989,3.72e-05,0.0935,80.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']"
254,254,Male,18 - 30,0 - 1,6,4,4,4,2,No,20,1.0,The Ocean (feat. Shy Martin),Mike Perry,0.575,0.632,0.104,0.188,90.037,1.81e-06,0.0225,78.0,"['dance pop', 'deep pop edm', 'deep tropical house', 'edm', 'electro house', 'pop', 'tropical house']"
